Tax Time Lodgment Page test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant No.,CustomID,IP Address,Date Started,Date Completed,User Agent,Total Time Spent,Avg Time Taken,Avg Page Views,1. Task. Task panel instructions,1. Task. Task panel instructions - Page Views,1. Task. Task panel instructions - Time Spent,2. Task. Task 1: Choosing a lodgment method,2. Task. Task 1: Choosing a lodgment method - Page Views,2. Task. Task 1: Choosing a lodgment method - Time Spent,9. Task. Task 2: Finding info on next steps,9. Task. Task 2: Finding info on next steps - Page Views,9. Task. Task 2: Finding info on next steps - Time Spent,"* Indicates required answers Please respond to the following based on the task you just completed. * ""I found it easy to find the right lodgment method.""","* ""I feel confident acting on the information on the website.""","* ""I found the content easy to read and understand.""",* Which lodgment method did you choose?,"Other, please specify",* What were your reasons for choosing that lodgment method?,Is there anything you would improve on this design?,"Please respond to the following based on the task you just completed: * ""Based on the information I found I would know what to do to submit my tax return.""","Based on this task, what would be the best method to lodge online?",Other,"Thank you for completing the session tasks, we have some quick questions to get your feedback about the overall experience you had today: How satisfied did you feel using this website?",I trust the information on the website.,I would use this section of the ato.gov.au website in the future.,I found it easy to find the information I was looking for.,The content and language was easy to understand.,Give us your feedback on how we can improve the tax time lodgment pages.,* Are you an ATO employee?,* Which of the following best describes you?,"Other, please specify (2)",Which age group do you belong to?
Participant 106,,180.149.192.139,10/05/17 16:30,10/05/17 16:33,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,204 secs,19.7,1.7,success,1,15,fail,3,27,fail,1,17,Strongly agree,Strongly agree,Strongly agree,myTax,,"looked easy - clean, simple",no,Agree,myTax,,Satisfied,Strongly agree,Agree,Agree,Agree,,No,Individual,,26-45
Participant 110,,58.162.179.159,10/05/17 16:32,10/05/17 16:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",315 secs,38,1.3,success,1,14,success,2,64,fail,1,36,Disagree,Neither agree nor disagree,Disagree,myTax,,Because on the facts given neither paper or an agent were mentioned and so there was only 1 method left,The question did not seem to be answerable on the information given,Disagree,myTax,,Satisfied,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,The issues raised did not seem to link to the pages available,No,"Tax agent, Small business",,46-65
Participant 113,,180.149.192.133,10/05/17 16:35,10/05/17 16:40,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,319 secs,41.3,1.3,success,1,31,success,2,55,fail,1,38,Agree,Agree,Agree,Tax agent,,Potential complexity of multiple houses and investment properties would benefit from expert knowledge.,No,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Agree,Strongly agree,,Yes,Individual,,26-45
Participant 117,,124.148.153.34,10/05/17 16:37,10/05/17 16:43,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,395 secs,31,1.3,success,1,22,fail,1,42,fail,2,29,Agree,Agree,Agree,myTax,,It was a personal tax return,,Agree,myTax,,Satisfied,Neither agree nor disagree,Agree,Agree,Agree,,No,Individual,,46-65
Participant 120,,121.222.110.87,10/05/17 16:39,10/05/17 16:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",453 secs,55,3,success,1,16,fail,7,137,fail,1,12,Agree,Agree,Neither agree nor disagree,myTax,,It appears that myTax now is suitable for investment properties,not at this stage,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,This part is just the way to choose how to lodge - there were more issues with the online myTax than which way to choose lodgement...I would like to see how you may have improved the myTax experience in total...,No,Small business,BAS Agent,46-65
Participant 123,,180.149.192.135,10/05/17 16:41,10/05/17 16:56,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,926 secs,47,1.3,success,1,21,fail,1,25,fail,2,95,Neither agree nor disagree,Strongly disagree,Agree,,I hit the do i need ot lodge tool link,Because I don't know the right lodgment method and expect the tool to help me decide,I think there needs to be a list of who can use myTax shown on this page.,Disagree,myTax,,Dissatisfied,Agree,Neither agree nor disagree,Disagree,Agree,"There needs to be information on this page about who can lodge via myTax and that you can lodge via myTax even if it's your first time. The page reads like you must have used myTax previously. There also needs to be a clearer link between myGov and myTax, people say they can lodge via myGov not myTax so we need to make the language user friendly and show some of the more common language used rather than just using ATO terms.",Yes,Individual,,26-45
Participant 124,,180.149.192.132,10/05/17 16:42,10/05/17 16:48,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,347 secs,31.7,1.3,success,1,28,success,2,43,fail,1,24,Agree,Strongly agree,Agree,myTax,,assume that mytax covers most scenarios for people who lodge,,Strongly agree,myTax,,Very satisfied,Agree,Strongly agree,Strongly agree,Strongly agree,,Yes,Individual,,26-45
Participant 126,,49.184.139.48,10/05/17 16:43,10/05/17 16:59,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-A520F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.2 Chrome/44.0.2403.133 Mobile Safari/537.36",916 secs,78,2,success,1,15,success,2,30,fail,3,189,Agree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,"Multiple investment properties, which may have significant depreciation deductions &schedules.",Advise how to prepare information for tax agent. Did not provide any info if not choosing mytax or other alternative.  Stop reducing tax agent lodgements.,Agree,myTax,,Dissatisfied,Agree,Disagree,Neither agree nor disagree,Agree,"Does not deal with mygov problems, logging in or linking accounts, have been many-or whether tax return needs to be lodged or if all information is available online.",No,Tax agent,,46-65
Participant 127,,122.248.156.25,10/05/17 16:43,10/05/17 16:51,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,455 secs,77.3,1.7,success,3,184,fail,1,28,fail,1,20,Strongly agree,Strongly agree,Strongly agree,Tax agent,,I think it is much easier and cost effective if I can lodge my own tax return with ATO by myself.,"I think that this is straightforward, simple and clear.",Strongly agree,myTax,,Very satisfied,Agree,Agree,Strongly agree,Strongly agree,I believe that this is good enough for a person to start to use myTax.,No,Small business,,46-65
Participant 133,,220.101.113.10,10/05/17 16:48,10/05/17 16:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",161 secs,18.3,2,success,1,15,success,4,28,fail,1,12,Strongly disagree,Agree,Agree,Tax agent,,Complexity of tax,,Agree,myTax,,Very satisfied,Agree,Agree,Strongly agree,Strongly agree,,Yes,Individual,,26-45
Participant 134,,137.147.143.77,10/05/17 16:48,10/05/17 17:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",1332 secs,378,1.7,success,1,26,success,2,145,fail,2,963,Agree,Agree,Agree,Tax agent,,Multiple rental properties,,Strongly agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,Tax agent,,46-65
Participant 135,,180.149.192.133,10/05/17 16:49,10/05/17 17:07,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1116 secs,28.3,1,success,1,51,fail,1,19,fail,1,15,Strongly disagree,Strongly disagree,Strongly disagree,myTax,,quick and easy,a few of the links ask to click 'complete task' the pop up just comes up with confirm on the top left corner and the top right 'X' to close the pop up,Strongly disagree,myTax,,Satisfied,Strongly disagree,Strongly disagree,Agree,Strongly disagree,would have been good if clicking on the link took the relevant page/info instead of a pop up each time,Yes,Individual,,26-45
Participant 145,,1.121.147.182,10/05/17 16:57,10/05/17 17:07,"Mozilla/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",572 secs,71.3,1.7,success,1,22,success,2,103,fail,2,89,Strongly agree,Agree,Agree,myTax,,myTax is easy to use and now I can use the rental property schedule in myTax,No the questions are succinct and easy to follow ,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The tax time lodgment pages are easy to read and follow. The language is easy to understand.,No,Individual,,46-65
Participant 146,,106.69.28.202,10/05/17 16:58,10/05/17 17:04,"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",339 secs,57.3,2.7,success,1,23,success,2,36,success,5,113,Agree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,I do not have to worry about getting it wrong.,No,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,,Retiree,Older than 65
Participant 148,,101.167.227.124,10/05/17 17:00,10/05/17 17:05,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko,299 secs,30.3,1,success,1,12,fail,1,31,fail,1,48,Disagree,Disagree,Disagree,myTax,,I couldn't see anything which particularly stood out as applying to me so I just chose what seemed the most generic option,Make it specific to the client type,Agree,myTax,,Dissatisfied,Agree,Disagree,Disagree,Disagree,Make it easier to understand and more quickly recognisable as to what option I should choose,No,Individual,,26-45
Participant 151,,110.174.227.171,10/05/17 17:04,10/05/17 17:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",276 secs,32.7,1.3,success,1,24,success,2,57,fail,1,17,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,Easier to ask questions,none,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,Tax agent,,26-45
Participant 154,,180.149.192.139,10/05/17 17:09,10/05/17 17:17,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,465 secs,46.7,1.7,success,1,19,success,2,54,fail,2,67,Neither agree nor disagree,Agree,Neither agree nor disagree,myTax,,Easiest method and no cost,Would have listed who can lodge through My Tax,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,Looked pretty good. Maybe just move information to front page on who can use My Tax,Yes,Individual,,46-65
Participant 155,,110.22.138.123,10/05/17 17:12,10/05/17 17:17,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",289 secs,32.3,1.3,success,1,14,success,2,65,fail,1,18,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,,It the one I thought was correct,,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Agree,Agree,,No,,Individual and self employed,46-65
Participant 156,,220.237.68.118,10/05/17 17:12,10/05/17 17:18,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,334 secs,46.7,2,success,1,32,success,2,68,success,3,40,Agree,Agree,Agree,Tax agent,,with property investments it is always best to get proper advise with tax issues,seems fine to me,Agree,myTax,,Satisfied,Agree,Disagree,Agree,Agree,,No,Sole trader/self-employed,,46-65
Participant 162,,180.149.192.135,10/05/17 17:31,10/05/17 17:34,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,230 secs,39.7,2.7,success,1,20,fail,3,47,success,4,52,Neither agree nor disagree,Agree,Agree,myTax,,Because it says you can if you have rental property schedules,,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Disagree,Agree,,Yes,Individual,,26-45
Participant 166,,121.44.3.133,10/05/17 17:43,10/05/17 17:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",348 secs,36.7,1.7,success,1,22,success,2,46,fail,2,42,Agree,Agree,Agree,myTax,,I've used it before.,no,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,Individual,,46-65
Participant 167,,101.173.1.42,10/05/17 17:43,10/05/17 18:38,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",3311 secs,101,2,success,1,54,success,2,84,fail,3,165,Agree,Agree,Agree,myTax,,Time savings,No,Agree,myTax,,Dissatisfied,Agree,Agree,Disagree,Agree,"There should be an ""About myGov"" button/link/dropdown to give more explanation about what it is. Why do lodgers need a myGov account to use myTax. What is myGov and what are the benefits of a myGov account for the user/ATO.",No,Sole trader/self-employed,,46-65
Participant 170,,121.222.230.93,10/05/17 17:59,10/05/17 18:10,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,707 secs,50.7,1.7,success,1,34,fail,3,96,fail,1,22,Neither agree nor disagree,Neither agree nor disagree,Disagree,myTax,,"I assumed you wished me to use that method. As you are asking a reg tax agent, naturally I prefer to use my tax program but I am answering the survey as a non professional who has never used mytax.",,Neither agree nor disagree,Tax agent,,Dissatisfied,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,"As you are asking a tax professional to comment on mytax, it is a person's decision to prepare their tax unassisted. Mytax has been a boon for my business. I really think I would just prefer someone to guide me through.",No,Tax agent,,Older than 65
Participant 171,,180.149.192.135,10/05/17 18:02,10/05/17 18:07,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,308 secs,40,1,success,1,23,fail,1,54,fail,1,43,Strongly disagree,Strongly agree,Strongly agree,myTax,,There were no other one to pick from.,no,Strongly agree,myTax,,Very dissatisfied,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,n/a,Yes,Individual,,46-65
Participant 172,,101.176.122.33,10/05/17 18:16,10/05/17 18:21,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,298 secs,33.3,1,success,1,42,fail,1,47,fail,1,11,Agree,Agree,Agree,Tax agent,,Have always used and trust,looks good!,Agree,Tax agent,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Simple and works,No,Individual,,Older than 65
Participant 173,,49.195.84.5,10/05/17 18:23,10/05/17 18:31,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G935F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.0 Chrome/51.0.2704.106 Mobile Safari/537.36",530 secs,95,3.3,success,1,23,fail,5,172,fail,4,90,Agree,Agree,Agree,Tax agent,,Having investment properties goes beyond 'simple' arrangements so would prefer to discuss with a registered tax agent.,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Strongly agree,,Yes,Individual,,26-45
Participant 175,,58.104.241.80,10/05/17 18:35,10/05/17 18:39,"Mozilla/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",201 secs,26.3,1.3,success,1,13,success,2,41,fail,1,25,Agree,Agree,Agree,Tax agent,,"With multiple properties, I'd use an agent for my tax",,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 178,,123.243.166.52,10/05/17 18:51,10/05/17 18:57,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,371 secs,31.7,1,success,1,35,fail,1,49,fail,1,11,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,I AM A TAX AGENT AND ALWAYS LODGE MINE THOUGH OUR HANDITAX SOFTWARE. I REALLY DON'T KNOW WHY YOUR COMPUTER DIDN'T KNOW THAT I AM A TAX AGENT AND SENT ME THIS EMAIL,NO,Neither agree nor disagree,Tax agent,,Neither satisfied nor dissatisfied,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,GET YOUR TAX AGENTS PORTAL WORKING CORRECTLY ALL THE TIME,No,"Sole trader/self-employed, Tax agent",,Older than 65
Participant 184,,203.7.31.39,10/05/17 19:33,10/05/17 19:40,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,405 secs,85.3,3.7,success,1,16,fail,7,187,success,3,53,Strongly disagree,Strongly disagree,Strongly disagree,myTax,,It was the only one that responded with a click task complete.,,Agree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Agree,Disagree,Agree,,No,Individual,,46-65
Participant 187,,1.152.97.58,10/05/17 19:52,10/05/17 20:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",521 secs,59,3,success,1,22,fail,7,140,fail,1,15,Strongly disagree,Disagree,Agree,,"I couldn't work it out completely. Mytax was the only option that spoke of rental schedules but that didn't correlate with the scenario of multiple properties that you set at the beginning of the tasks. However as it was the only option (after clicking all three) that the words rental in it, I would choose this option to start and check to see if it was right as I progressed.",i just explained that in my last answer,i would say who cannot use a lodgement type - negatives resonate more strongly and are quicker to process cognitively.,Agree,myTax,,Neither satisfied nor dissatisfied,Disagree,Agree,Disagree,Agree,,No,Individual,,26-45
Participant 188,,123.100.48.183,10/05/17 20:23,10/05/17 20:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",805 secs,175.7,1.3,success,1,66,success,2,216,abandon,1,245,Agree,Neither agree nor disagree,Agree,Tax agent,,That's what I normally do.,,Neither agree nor disagree,Tax agent,,Dissatisfied,Neither agree nor disagree,Disagree,Agree,Agree,"I use a Tax Agent, so I don't need to use what you are proposing.",No,Small business,,Older than 65
Participant 189,,114.76.116.146,10/05/17 20:30,10/05/17 20:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",239 secs,36.7,1.7,success,1,5,fail,3,97,fail,1,8,Agree,Disagree,Neither agree nor disagree,myTax,,mytax prefills a lot of data,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,18-25
Participant 191,,203.59.184.114,10/05/17 20:56,10/05/17 21:03,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,386 secs,50.7,1,success,1,23,fail,1,73,fail,1,56,Neither agree nor disagree,Strongly agree,Agree,myTax,,It was first thing I saw and I'm individual not company so I can use myTax to lodge.,Too many things to read on one page.,Strongly agree,myTax,,Satisfied,Agree,Strongly disagree,Neither agree nor disagree,Agree,,No,Small business,,26-45
Participant 195,,58.6.178.122,10/05/17 21:26,10/05/17 21:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",299 secs,37,2,success,1,23,success,2,33,success,3,55,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,"It's more complex, I would rather an agent look after it and take the complexity away from me",Design looked good,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,No,Individual,,26-45
Participant 197,,203.7.99.68,10/05/17 21:35,10/05/17 21:41,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",361 secs,68,1.3,success,1,56,success,2,98,fail,1,50,Neither agree nor disagree,Agree,Agree,Tax agent,,Complex tax affairs,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 202,,58.107.111.60,10/05/17 21:59,10/05/17 22:07,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",491 secs,30.7,1,success,1,37,fail,1,37,fail,1,18,Agree,Neither agree nor disagree,Agree,myTax,,because I like to do my own,,Neither agree nor disagree,myTax,,Dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,No,Sole trader/self-employed,,46-65
Participant 204,,172.198.166.86,10/05/17 22:04,10/05/17 22:12,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-T550 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Safari/537.36",456 secs,25.7,1.7,success,2,12,success,2,20,fail,1,45,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,Because it has been to hard to use the ato website,Easly to follow instructions. Individual use mytax Rentals use agent.etc,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Disagree,Disagree,,No,Individual,,46-65
Participant 205,,121.45.56.49,10/05/17 23:05,10/05/17 23:13,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,457 secs,56.7,2.3,success,1,23,fail,3,101,success,3,46,Agree,Agree,Agree,myTax,,Because now people with rental property schedules can use MyTax to lodge their return.,"No, I think it is pretty self explanatory.",Agree,myTax,,Satisfied,Agree,Strongly agree,Agree,Agree,"I think it is pretty self explanatory, hopefully it is easier to use.",No,Individual,,26-45
Participant 207,,180.149.192.135,11/05/17 7:03,11/05/17 7:21,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1059 secs,40.7,1,success,1,34,fail,1,74,fail,1,14,Agree,Agree,Agree,myTax,,Its straight forward and easy,"The video advises ""prefill"" but does not advise all information will not prefill till reported to the ATO mid August. Some people don't check correctly and then phone because there is a mistake.",Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
Participant 208,,180.149.192.139,11/05/17 7:07,11/05/17 7:11,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,223 secs,28.7,1.7,success,1,16,success,2,39,fail,2,31,Agree,Agree,Agree,Tax agent,,I thought it would be reasonably complicated and it would be better to use a professional.,,Agree,myTax,,Satisfied,Agree,Neither agree nor disagree,Agree,Agree,,Yes,Individual,,46-65
Participant 211,,180.149.192.134,11/05/17 7:09,11/05/17 7:13,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,292 secs,25.3,1,success,1,16,fail,1,47,fail,1,13,Neither agree nor disagree,Disagree,Agree,myTax,,It looked easy. But I wasn't sure if it was OK to use it given the scenario.,"Does owning investment properties impact how you can do your tax return? If so, that information wasn't clear to me.",Strongly agree,myTax,,Very satisfied,Strongly agree,Disagree,Strongly agree,Agree,"I didn't use any other page, so I am not sure",Yes,Individual,,26-45
Participant 212,,119.225.114.62,11/05/17 7:16,11/05/17 7:20,"Mozilla/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",218 secs,23,1.3,success,1,18,success,2,29,fail,1,22,Neither agree nor disagree,Agree,Agree,Tax agent,,"Multiple investment properties requires a lot of effort and understanding, which I'm happy to pay an agent for.",No,Agree,myTax,,Satisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,"I think it's really simple now, so no change",Yes,Individual,,46-65
Participant 213,,180.149.192.136,11/05/17 7:22,11/05/17 7:28,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,342 secs,26.3,1.3,success,1,19,success,2,38,fail,1,22,Agree,Agree,Agree,Tax agent,,The complexity of the tax affairs,Nothing that is obvious,Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,"Nothing that stands out, though being taken straight to the pages from the Beta email doesn't mean that people will find what they are looking for from the ato.gov home page",Yes,Individual,,46-65
Participant 217,,180.149.192.134,11/05/17 7:29,11/05/17 7:36,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,424 secs,104.7,1.7,success,1,5,fail,3,296,fail,1,13,Agree,Neither agree nor disagree,Neither agree nor disagree,myTax,,That will allow me to do it now,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 221,,180.149.192.135,11/05/17 7:40,11/05/17 8:09,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1766 secs,116.3,3.3,success,1,34,fail,8,268,fail,1,47,Disagree,Agree,Neither agree nor disagree,Tax agent,,A registered Tax Agent should know exactly what investment income and deductions should be included in my tax return. If I did the return myself I would be worried I'd overlooked income that should be included.,no,Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,I was unable to access the 'Do I need to lodge a tax return' tool so I can't provide any feedback on how useful it would be. The 'Start your tax return with myTax' also is inactive so I can only presume it would take me to the myGov login.,Yes,Individual,,46-65
Participant 222,,61.8.13.254,11/05/17 7:42,11/05/17 7:47,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",278 secs,32.3,2,success,1,11,success,2,50,success,3,36,Neither agree nor disagree,Agree,Neither agree nor disagree,myTax,,I feel I am able to complete on my own rather than pay a tax agent.,Nothing specific,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Agree,Agree,Nothing comes to my mind at this point.,No,Individual,,46-65
Participant 223,,180.149.192.132,11/05/17 7:43,11/05/17 7:51,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,498 secs,59.3,1.7,success,1,39,success,2,86,fail,2,53,Neither agree nor disagree,Neither agree nor disagree,Agree,I'd rather not say,,"Um, I would rather not say.",,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Yes,Individual,,26-45
Participant 224,,180.149.192.136,11/05/17 7:45,11/05/17 7:52,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,431 secs,67.7,1,success,1,79,fail,1,62,fail,1,62,Agree,Agree,Agree,myTax,,I checked the requirements to lodge via myTax and determined I was able to do so via myTax,no,Neither agree nor disagree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Disagree,Tthe language used for lodgment via myTax for people with a myGov account is not that clear. Could be a bit confusing.,Yes,Individual,,26-45
Participant 226,,180.149.192.136,11/05/17 7:49,11/05/17 7:53,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,236 secs,29.7,2,success,1,20,success,2,22,success,3,47,Neither agree nor disagree,Disagree,Agree,Tax agent,,I assumed tax agent was right?,,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
